FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,Date GMT,ID
Autistica - Work: Self Confidence,120,11111111,A little,A lot,Moderate,A lot,A little,A lot,Not confident at all,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Moderate,A little,Completely confident,9th February 2019 9:16 am,9th February 2019 9:16 am,218
Autistica - Work: Self Confidence,120,12077101,Not confident at all,A lot,Completely confident,Moderate,Not confident at all,Moderate,A little,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Not confident at all,Not confident at all,A little,4th February 2019 9:16 am,4th February 2019 9:16 am,213
Autistica - Work: Self Confidence,120,38961843,Completely confident,A lot,A lot,Completely confident,Completely confident,A little,Not confident at all,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Moderate,A little,A lot,4th February 2019 9:16 am,4th February 2019 9:16 am,208
Autistica - Work: Self Confidence,120,67611589,Moderate,Not confident at all,A little,Not confident at all,A little,A lot,Not confident at all,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Moderate,Moderate,A little,4th February 2019 9:16 am,4th February 2019 9:16 am,203
Autistica - Work: Self Confidence,120,32500162,A little,A lot,Moderate,A lot,Not confident at all,Moderate,A little,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Not confident at all,Completely confident,Completely confident,4th February 2019 9:16 am,4th February 2019 9:16 am,198
Autistica - Work: Self Confidence,120,90705766,Not confident at all,A lot,Completely confident,Moderate,Completely confident,A little,Not confident at all,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Moderate,A little,A little,1st February 2019 9:16 am,1st February 2019 9:16 am,193
Autistica - Work: Self Confidence,120,46465154,Completely confident,A lot,A lot,Completely confident,A little,A lot,Not confident at all,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Moderate,Not confident at all,A lot,1st February 2019 9:16 am,1st February 2019 9:16 am,188
Autistica - Work: Self Confidence,120,22222222,Moderate,Not confident at all,A little,Not confident at all,Not confident at all,Moderate,A little,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Not confident at all,Completely confident,A little,1st February 2019 9:16 am,1st February 2019 9:16 am,183
Autistica - Work: Self Confidence,120,11111111,A little,A lot,Moderate,A lot,Completely confident,A little,Not confident at all,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Moderate,A little,Completely confident,22nd January 2019 9:16 am,22nd January 2019 9:16 am,178
Autistica - Work: Self Confidence,120,12077101,Not confident at all,A lot,Completely confident,Moderate,A little,A lot,Not confident at all,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Moderate,A little,A little,22nd January 2019 9:16 am,22nd January 2019 9:16 am,173
Autistica - Work: Self Confidence,120,38961843,Completely confident,A lot,A lot,Completely confident,Not confident at all,Moderate,A little,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Not confident at all,Moderate,A lot,22nd January 2019 9:16 am,22nd January 2019 9:16 am,168
Autistica - Work: Self Confidence,120,67611589,Moderate,Not confident at all,A little,Not confident at all,Completely confident,A little,Not confident at all,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Moderate,Completely confident,A little,20th January 2019 9:16 am,20th January 2019 9:16 am,163
Autistica - Work: Self Confidence,120,32500162,A little,A lot,Moderate,A lot,A little,A lot,Not confident at all,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Moderate,Moderate,Completely confident,20th January 2019 9:16 am,20th January 2019 9:16 am,158
Autistica - Work: Self Confidence,120,90705766,Not confident at all,A lot,Completely confident,Moderate,Not confident at all,Moderate,A little,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Not confident at all,A little,A little,20th January 2019 9:16 am,20th January 2019 9:16 am,153
Autistica - Work: Self Confidence,120,46465154,Completely confident,A lot,A lot,Completely confident,Completely confident,A little,Not confident at all,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,Moderate,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Moderate,Not confident at all,A lot,20th January 2019 9:16 am,20th January 2019 9:16 am,148
Autistica - Work: Self Confidence,120,22222222,Moderate,Not confident at all,A little,Not confident at all,A little,A lot,Not confident at all,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Moderate,A little,A little,18th January 2019 9:16 am,18th January 2019 9:16 am,143
Autistica - Work: Self Confidence,120,11111111,A little,A lot,Moderate,A lot,Not confident at all,Moderate,A little,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Not confident at all,A little,Completely confident,18th January 2019 9:16 am,18th January 2019 9:16 am,138
Autistica - Work: Self Confidence,120,12077101,Not confident at all,A lot,Completely confident,Moderate,Completely confident,A little,Not confident at all,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Moderate,A little,A little,18th January 2019 9:16 am,18th January 2019 9:16 am,133
Autistica - Work: Self Confidence,120,38961843,Completely confident,A lot,A lot,Completely confident,A little,A lot,Not confident at all,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Moderate,Not confident at all,A lot,18th January 2019 9:16 am,18th January 2019 9:16 am,128
Autistica - Work: Self Confidence,120,67611589,Moderate,Not confident at all,A little,Not confident at all,Not confident at all,Moderate,A little,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Not confident at all,A little,A little,12th January 2019 9:16 am,12th January 2019 9:16 am,123
Autistica - Work: Self Confidence,120,32500162,A little,A lot,Moderate,A lot,Completely confident,A little,Not confident at all,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Moderate,Moderate,Completely confident,12th January 2019 9:16 am,12th January 2019 9:16 am,118
Autistica - Work: Self Confidence,120,90705766,Not confident at all,A lot,Completely confident,Moderate,A little,A lot,Not confident at all,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Moderate,Completely confident,A little,12th January 2019 9:16 am,12th January 2019 9:16 am,113
Autistica - Work: Self Confidence,120,46465154,Completely confident,A lot,A lot,Completely confident,Not confident at all,Moderate,A little,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Not confident at all,A little,A lot,12th January 2019 9:16 am,12th January 2019 9:16 am,108
Autistica - Work: Self Confidence,120,22222222,Moderate,Not confident at all,A little,Not confident at all,Completely confident,A little,Not confident at all,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Moderate,Not confident at all,A little,10th January 2019 9:16 am,10th January 2019 9:16 am,103
Autistica - Work: Self Confidence,120,11111111,A little,A lot,Moderate,A lot,A little,A lot,Not confident at all,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Moderate,Completely confident,Completely confident,10th January 2019 9:16 am,10th January 2019 9:16 am,98
Autistica - Work: Self Confidence,120,12077101,Not confident at all,A lot,Completely confident,Moderate,Not confident at all,Moderate,A little,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Not confident at all,A little,A little,10th January 2019 9:16 am,10th January 2019 9:16 am,93
Autistica - Work: Self Confidence,120,38961843,Completely confident,A lot,A lot,Completely confident,Completely confident,A little,Not confident at all,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Moderate,A little,A lot,10th January 2019 9:16 am,10th January 2019 9:16 am,88
Autistica - Work: Self Confidence,120,67611589,Moderate,Not confident at all,A little,Not confident at all,A little,A lot,Not confident at all,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Moderate,Moderate,A little,4th January 2019 9:16 am,4th January 2019 9:16 am,83
Autistica - Work: Self Confidence,120,32500162,A little,A lot,Moderate,A lot,Not confident at all,Moderate,A little,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Not confident at all,Completely confident,Completely confident,4th January 2019 9:16 am,4th January 2019 9:16 am,78
Autistica - Work: Self Confidence,120,90705766,Not confident at all,A lot,Completely confident,Moderate,Completely confident,A little,Not confident at all,A lot,A little,Not confident at all,,Completely confident,Not confident at all,A little,Moderate,Completely confident,Not confident at all,Not confident at all,Completely confident,Not confident at all,A little,Moderate,Completely confident,A lot,Not confident at all,A little,A lot,Moderate,Moderate,A little,4th January 2019 9:16 am,4th January 2019 9:16 am,73
Autistica - Work: Self Confidence,120,46465154,Completely confident,A lot,A lot,Completely confident,A little,A lot,Not confident at all,Completely confident,Moderate,A lot,Completely confident,A lot,Completely confident,Moderate,Moderate,A lot,Completely confident,A lot,Moderate,Completely confident,A lot,A little,Completely confident,Completely confident,Completely confident,A lot,Completely confident,Moderate,A little,A lot,1st January 2019 9:16 am,1st January 2019 9:16 am,68
Autistica - Work: Self Confidence,120,90705766,Moderate,Not confident at all,A little,Not confident at all,Not confident at all,Moderate,A little,Not confident at all,Moderate,A little,A lot,Moderate,A little,A lot,Moderate,Completely confident,Not confident at all,Moderate,Not confident at all,Not confident at all,A little,Moderate,A little,Not confident at all,Not confident at all,A little,A lot,Not confident at all,Not confident at all,A little,1st January 2019 9:16 am,1st January 2019 9:16 am,63
Autistica - Work: Self Confidence,120,46465154,Completely confident,A lot,Moderate,A lot,Completely confident,A little,Not confident at all,A little,Moderate,A lot,Completely confident,A lot,Moderate,A little,Moderate,A lot,Completely confident,,Completely confident,Completely confident,Completely confident,Completely confident,A lot,A little,Not confident at all,A lot,Completely confident,Moderate,A little,Completely confident,1st January 2019 9:16 am,1st January 2019 9:16 am,58
